BASE_FORM;PRESENT_3RD;CONTINUOUS_FORM;PAST_SIMPLE;PAST_PARTICIPLE
arise;arises;arising;arose;arisen
awake;awakes;awaking;awoke;awoken
bear;bears;bearing;bore;born/borne
beat;beats;beating;beat;beaten
become;becomes;becoming;became;become
begin;begins;beginning;began;begun
bend;bends;bending;bent;bent
bet;bets;betting;bet;bet
bind;binds;binding;bound;bound
bite;bites;biting;bit;bitten
bleed;bleeds;bleeding;bled;bled
blow;blows;blowing;blew;blown
break;breaks;breaking;broke;broken
breed;breeds;breeding;bred;bred
bring;brings;bringing;brought;brought
broadcast;broadcasts;broadcasting;broadcast;broadcast
build;builds;building;built;built
burst;bursts;bursting;burst;burst
buy;buys;buying;bought;bought
catch;catches;catching;caught;caught
choose;chooses;choosing;chose;chosen
cling;clings;clinging;clung;clung
come;comes;coming;came;come
cost;costs;costing;cost;cost
creep;creeps;creeping;crept;crept
cut;cuts;cutting;cut;cut
deal;deals;dealing;dealt;dealt
dig;digs;digging;dug;dug
dive;dives;diving;dove;dived
do;does;doing;did;done
draw;draws;drawing;drew;drawn
drink;drinks;drinking;drank;drunk
drive;drives;driving;drove;driven
eat;eats;eating;ate;eaten
fall;falls;falling;fell;fallen
feed;feeds;feeding;fed;fed
feel;feels;feeling;felt;felt
fight;fights;fighting;fought;fought
find;finds;finding;found;found
fit;fits;fitting;fit;fit
fly;flies;flying;flew;flown
forbid;forbids;forbidding;forbade;forbidden
forget;forgets;forgetting;forgot;forgotten
forgive;forgives;forgiving;forgave;forgiven
freeze;freezes;freezing;froze;frozen
get;gets;getting;got;got
give;gives;giving;gave;given
go;goes;going;went;gone
grind;grinds;grinding;ground;ground
grow;grows;growing;grew;grown
hang;hangs;hanging;hung;hung
have;has;having;had;had
hear;hears;hearing;heard;heard
hide;hides;hiding;hid;hidden
hit;hits;hitting;hit;hit
hold;holds;holding;held;held
hurt;hurts;hurting;hurt;hurt
keep;keeps;keeping;kept;kept
kneel;kneels;kneeling;knelt/kneeled;knelt/kneeled
know;knows;knowing;knew;known
lay;lays;laying;laid;laid
lead;leads;leading;led;led
leap;leaps;leaping;leaped/leapt;leaped/leapt
leave;leaves;leaving;left;left
lend;lends;lending;lent;lent
lie;lies;lying;lay;lain
light;lights;lighting;lit/lighted;lit/lighted
lose;loses;losing;lost;lost
make;makes;making;made;made
mean;means;meaning;meant;meant
meet;meets;meeting;met;met
mow;mows;mowing;mowed;mown/mowed
overtake;overtakes;overtaking;overtook;overtaken
pay;pays;paying;paid;paid
plead;pleads;pleading;pled;pled
put;puts;putting;put;put
quit;quits;quitting;quit;quit
read;reads;reading;read;read
ride;rides;riding;rode;ridden
ring;rings;ringing;rang;rung
rise;rises;rising;rose;risen
run;runs;running;ran;run
saw;saws;sawing;sawed;sawn/sawed
say;says;saying;said;said
see;sees;seeing;saw;seen
sell;sells;selling;sold;sold
send;sends;sending;sent;sent
set;sets;setting;set;set
sew;sews;sewing;sewed;sewn/sewed
shake;shakes;shaking;shook;shaken
shed;sheds;shedding;shed;shed
shine;shines;shining;shone;shone
shoot;shoots;shooting;shot;shot
show;shows;showing;showed;shown
shrink;shrinks;shrinking;shrank;shrunk
shut;shuts;shutting;shut;shut
sing;sings;singing;sang;sung
sink;sinks;sinking;sank;sunk
sit;sits;sitting;sat;sat
sleep;sleeps;sleeping;slept;slept
slide;slides;sliding;slid;slid
sow;sows;sowing;sowed;sown/sowed
speak;speaks;speaking;spoke;spoken
spend;spends;spending;spent;spent
spin;spins;spinning;spun;spun
spit;spits;spitting;spat;spat
spread;spreads;spreading;spread;spread
stand;stands;standing;stood;stood
steal;steals;stealing;stole;stolen
stick;sticks;sticking;stuck;stuck
sting;stings;stinging;stung;stung
stink;stinks;stinking;stank;stunk
strike;strikes;striking;struck;struck
swear;swears;swearing;swore;sworn
sweep;sweeps;sweeping;swept;swept
swell;swells;swelling;swelled;swollen/swelled
swim;swims;swimming;swam;swum
swing;swings;swinging;swung;swung
take;takes;taking;took;taken
teach;teaches;teaching;taught;taught
tear;tears;tearing;tore;torn
tell;tells;telling;told;told
think;thinks;thinking;thought;thought
throw;throws;throwing;threw;thrown
understand;understands;understanding;understood;understood
wake;wakes;waking;woke;woken
wear;wears;wearing;wore;worn
weep;weeps;weeping;wept;wept
wet;wets;wetting;wet;wet
win;wins;winning;won;won
wind;winds;winding;wound;wound
write;writes;writing;wrote;written
